name,abv,institution_type_id,city_id
University of the Free State,UFS,4,5
Central University of technology,CUT,4,5
University of Kwazulu Natala,UKZN,4,7
University of pretoria,UP,4,2
University of south africa,UNISA,4,2
Tshwane University of Technology,TUT,4,2
Sefako Makgatho Health Sciences University,SMU,4,2
University of the Witwatersrand,WITS,4,1
University of Johannesburg,UJ,4,1
Vaal University of Technology,VUT,4,1
University of cape town,UCT,4,8
Cape Peninsula University of technology,CPUT,4,8
North West University,NWU,4,4
University of Stellenbosch,UST,4,1
Nelson Mandela Metropolitan University,NMMU,4,3
Walter Sisulu University,WSU,4,2
Durban University of Technolog,DUT,4,2
University of Limpopo,UL,4,3
University of Zululand,UZ,4,4
University of the Western Cape,UWC,4,5
University of Fort Hare,UFH,4,1
University of Venda,UV,4,3
Mangosuthu University of Technology,MUT,4,6
Rhodes University,RU,4,5
University of Mpumalanga,UM,4,2
Sol Plaatje University,SPU,4,7
